Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",10.400000,6.100000,0.000000,bottom
"C2","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",10.500000,16.400000,0.000000,bottom
"C3","CAP-100N-10%-25V-X7R-0402_001","C_0402_1005Metric",10.500000,15.300000,0.000000,bottom
"C4","CAP-470N-10%-25V-X5R-0402_002","C_0402_1005Metric",8.500000,6.100000,0.000000,bottom
"C5","CAP-470N-10%-25V-X5R-0402_002","C_0402_1005Metric",12.600000,9.000000,180.000000,bottom
"C6","CAP-470N-10%-25V-X5R-0402_002","C_0402_1005Metric",6.600000,6.100000,0.000000,bottom
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",3.600000,1.200000,0.000000,bottom
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",2.250000,18.500000,0.000000,bottom
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",16.400000,19.100000,0.000000,bottom
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",16.000000,4.600000,0.000000,bottom
"R1","RES-NM-0402","R_0402_1005Metric",12.600000,11.200000,0.000000,bottom
"R2","RES-0-1%-0.063W-0402_001","R_0402_1005Metric",12.600000,13.400000,0.000000,bottom
"R3","RES-0-1%-0.063W-0402_001","R_0402_1005Metric",12.600000,10.100000,0.000000,bottom
"R4","RES-NM-0402","R_0402_1005Metric",12.600000,12.300000,0.000000,bottom
"U1","RS232-TO-TTL-CMOS_x3232_002","TSSOP-16_4.4x5mm_P0.65mm",8.500000,10.700000,90.000000,bottom
